124;51;42;"3/4"
125;203;127;"1"
125;312;127;"1"
125;154;127;"1"
125;297;127;"1"
126;244;127;"2"
126;281;119;"1"
126;219;1;"6 "
126;227;122;"1"
127;244;127;"1 1/2"
127;143;28;"4"
127;281;119;"1"
127;227;122;"1/2"
128;293;121;"2 1/2"
128;205;1;
128;321;1;
129;1;127;"2 1/2"
129;310;127;"1/2"
129;243;127;"1/2"
129;282;1;"1"
130;1;127;"2"
130;322;1;"Juice of 1/2 "
130;272;122;"1"
130;255;1;
131;1;127;"2"
131;320;127;"1"
131;227;94;"1/2"
131;263;1;"1 "
131;198;1;"1 "
132;316;127;"1"
132;323;127;"1"
132;103;127;"1"
133;1;127;"2"
133;320;127;"1"
133;227;94;"1/2"
133;309;122;"1/2"
133;198;1;"1 "
133;263;1;"1 "
134;1;127;"2"
134;322;1;"Juice of 1/2 "
134;272;122;"1"
134;212;122;"1"
134;210;1;"Twist of "
135;1;127;"2"
135;255;127;"1"
135;227;70;"1"
135;219;1;"4 "
135;263;116;"1"
135;273;1;"1 "
136;1;127;"2"
136;212;122;"2"
136;272;122;"1/2"
136;165;85;"1"
137;260;127;"1 1/2"
137;323;127;"3/4"
138;316;127;"1 1/2"
138;323;127;"3/4"
139;52;99;"5"
139;320;99;"3"
139;293;107;"1"
139;53;107;"1"
140;265;1;"1 L "
140;212;118;"125"
140;227;27;"60"
140;168;1;"1 "
140;167;1;"3 "
140;165;119;"1"
141;316;127;"1 1/2"
141;276;1;"3 oz"
142;1;1;"4 cl"
142;250;128;"10"
142;251;116;"1"
142;321;1;"cubes"
143;1;1;"6 cl"
143;264;1;"8 cl"
143;251;116;"1"
143;321;1;"cubes"
144;1;127;"2"
144;255;1;
144;272;1;
144;177;1;
144;165;1;
145;1;127;"1 1/2"
145;309;122;"1"
145;272;119;"1"
145;143;28;"3"
145;285;1;"2 "
145;255;1;
146;189;128;"1 1/2"
146;160;128;"1 1/2"
146;154;128;"1 1/2"
146;235;128;"3"
147;1;127;"2"
147;309;122;"1"
147;283;1;"Juice of 1/2 "
147;288;1;"Top up with"
147;282;1;"Garnish"
148;281;127;"1 1/2"
148;227;94;"1"
148;1;127;"2"
148;209;109;"1"
148;197;127;"3"
149;1;127;"1 1/2"
149;289;127;"1"
149;291;127;"1"
149;309;122;"1/2"
149;143;1;"1 "
150;203;127;"1"
150;307;98;"1"
150;309;109;"1"
151;139;127;"3/4"
151;135;78;"3/4"
151;275;127;"3/4"
152;323;107;"1"
152;314;107;"1"
152;203;107;"1"
152;184;99;"2 1/2"
153;54;128;"4"
153;297;128;"8"
153;226;1;
154;292;1;"6 cl"
154;186;1;"2 cl"
154;264;1;"2 cl"
155;118;118;"50"
155;186;118;"15"
155;168;1;"1"
155;283;1;"1"
155;167;1;"2"
156;55;121;"5"
156;211;1;"very sweet "
157;165;29;"1"
157;236;127;"2"
157;205;127;"5"
157;209;112;"2"
158;110;128;"1 1/2"
158;205;1;
158;282;1;
158;321;1;
159;328;118;"25"
159;56;118;"15"
159;243;118;"10"
159;302;118;"100"
159;123;1;"2"
160;244;127;"1"
160;291;127;"1"
160;320;122;"1"
161;256;1;
161;57;1;"orange"
161;58;1;
162;67;125;"1"
162;297;125;"3/4"
162;226;30;"6"
163;227;95;"2 1/2"
163;59;120;"1"
163;226;31;"1 1/2"
163;192;127;"2"
163;212;32;"3"
163;316;33;"1"
164;60;114;"1"
164;172;1;"3"
164;61;1;"1"
164;167;1;"10"
164;218;1;"6"
164;316;128;"20"
165;316;127;"1"
165;293;127;"1/2"
165;262;127;"4"
166;1;127;"2"
166;289;127;"1/2"
166;291;119;"1"
167;324;99;"12"
167;276;99;"8"
167;215;99;"3"
167;310;99;"3"
168;260;127;"1 1/2"
168;238;127;"3/4"
168;259;112;"2"
168;252;1;"1 "
169;116;34;"12"
169;62;122;"1"
169;192;122;"1/2"
169;246;120;"1"
169;63;1;"mini "
170;282;1;"½"
170;191;122;"2"
170;142;1;"4 cl"
170;205;1;"top up with"
170;321;1;"fill"
171;316;127;"1 1/2"
171;64;127;"6"
171;320;1;"to taste"
172;226;35;"1/4"
172;227;120;"1/4"
172;212;47;"1/4"
172;184;52;"4"
173;260;120;"1"
173;246;120;"1 1/4"
173;213;36;"1"
173;65;106;"3"
173;71;119;"1"
174;67;127;"1"
174;66;127;"1/2"
174;262;127;"1"
174;235;127;"1"
174;263;116;"1"
174;273;1;"1 "
175;67;127;"1 1/2"
175;226;127;"8"
175;227;122;"1"
175;208;119;"1"
176;244;127;"1/2"
176;271;127;"1 1/2"
176;322;1;"Juice of 1/2 "
176;272;122;"1"
176;255;1;"Null"
177;316;125;"1"
177;203;125;"1"
177;303;109;"1"
177;68;1;"Fill with "
178;281;128;"4"
178;1;128;"2"
178;69;128;"4"
179;203;122;"2"
179;226;1;"Strong cold "
180;297;127;"3/4"
180;164;127;"3/4"
180;316;127;"3/4"
180;262;127;"2-3"
181;1;37;"2"
181;316;38;"1"
181;309;112;"3"
181;281;125;"1"
181;227;110;"around rim put 1"
181;153;112;"3"
181;317;1;"Fill to top with "
182;297;127;"2/3"
182;318;127;"1/3"
182;153;122;"1"
182;227;39;"2"
183;150;127;"1"
183;221;127;"1"
184;207;127;"1"
184;323;127;"1"
185;316;95;"2"
185;70;40;"3"
185;212;95;"3"
186;164;127;"2"
186;320;127;"1"
186;227;94;"1"
186;197;127;"3"
186;198;1;"1 "
186;263;1;"1 "
187;274;125;"1"
187;244;41;"1"
187;321;1;"cubes"
187;184;1;
188;271;127;"1 1/2"
188;322;1;"Juice of 1/2 "
188;272;122;"1"
188;140;119;"1"
188;239;1;"1 "
188;255;1;
189;184;95;"2"
189;71;1;
189;72;1;
190;324;42;"1/6"
190;226;43;"1/6"
190;212;44;"1/2"
190;208;1;
191;1;127;"1 1/2"
191;214;127;"1/2"
191;73;127;"1/2"
192;74;127;"1 1/2"
192;309;122;"1"
192;282;1;"Juice of 1/2 "
193;321;1;"4-5 "
193;75;127;"2"
193;192;122;"1"
193;303;127;"10-12"
194;305;107;"1"
194;176;99;"5"
195;226;107;"1"
195;76;99;"2"
196;316;127;"1"
196;289;127;"1"
196;281;127;"1"
197;305;107;"1"
197;176;99;"5"
198;77;128;"4"
198;211;1;"Turkish apple "
198;227;1;" (if needed)"
199;78;107;"1"
199;79;99;"2"
199;321;1;"cubes"
200;203;127;"1"
200;236;127;"1/2"
200;226;1;
201;83;1;"1/2"
201;243;122;"1"
201;316;127;"1 1/2"
202;316;125;"1"
202;323;125;"1"
202;80;125;"1"
202;289;125;"1"
202;178;1;
203;81;128;"4"
203;82;128;"2"
203;253;128;"7"
203;329;128;"8"
203;321;1;"cubes"
204;307;45;"2"
204;325;46;"1/2"
205;164;127;"2"
205;147;127;"1/2"
206;164;127;"3"
206;147;127;"1/2"
206;165;85;"1"
207;325;126;"1/2"
207;316;127;"1/2"
208;83;1;"3 "
208;84;1;"1/2 "
209;218;80;"1"
209;322;1;"1/4 "
209;212;47;"1"
210;282;1;"Juice of 1 "
